frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
222,8.8800,438,241,1010.999,148.731,291.225
223,8.9200,432,233,1020.999,187.551,508.478
224,8.9600,427,228,1028.070,204.879,584.035
225,9.0000,424,223,1033.901,203.619,537.474
226,9.0400,420,223,1037.901,180.608,319.161
227,9.0800,419,223,1038.901,139.510,-46.106
228,9.1200,419,222,1039.901,94.510,-465.204
229,9.1600,423,223,1044.025,79.770,-625.541
230,9.2000,425,222,1046.261,61.796,-709.118
231,9.2400,428,220,1049.866,59.824,-603.921
232,9.2800,429,213,1056.937,90.179,-246.656
233,9.3200,428,228,1071.971,160.345,329.177
234,9.3600,438,244,1090.838,234.070,771.497
235,9.4000,451,268,1118.133,359.363,1487.835
236,9.4400,466,293,1147.288,487.109,2136.426
237,9.4800,466,296,1150.288,466.754,1882.873
238,9.5200,477,312,1169.704,488.669,1641.620
239,9.5600,479,334,1191.795,504.783,1353.568
240,9.6000,473,335,1197.878,398.724,196.804
241,9.6400,471,332,1201.483,270.978,-1080.656
242,9.6800,466,328,1207.887,287.993,-893.801
243,9.7200,465,326,1210.123,202.091,-1432.892
244,9.7600,466,324,1212.359,102.818,-2009.827
245,9.8000,467,324,1213.359,77.404,-1606.598
246,9.8400,465,323,1215.595,70.557,-1002.105
247,9.8800,464,319,1219.718,59.157,-1144.183
248,9.9200,466,319,1221.718,57.976,-720.575
249,9.9600,462,314,1228.121,78.811,-120.032
250,10.0000,461,308,1234.204,104.225,134.106
251,10.0400,457,302,1241.415,129.100,292.719
252,10.0800,456,301,1242.829,115.556,281.997
253,10.1200,456,300,1243.829,110.556,262.899
254,10.1600,457,298,1246.065,89.721,54.546
255,10.2000,455,289,1255.285,105.405,5.897
256,10.2400,451,279,1266.055,123.201,-29.498
257,10.2800,447,264,1281.579,193.751,390.973
258,10.3200,447,264,1281.579,188.751,390.973
259,10.3600,442,247,1299.299,266.170,882.249
260,10.4000,436,231,1316.387,305.513,1000.541
261,10.4400,433,219,1328.757,313.508,951.535
262,10.4800,430,209,1339.197,288.088,471.689
263,10.5200,420,196,1355.598,370.094,906.719
264,10.5600,415,192,1362.001,313.510,236.697
265,10.6000,412,188,1367.001,253.070,-262.215
266,10.6400,412,185,1370.001,206.223,-536.422
267,10.6800,411,182,1373.164,169.833,-591.276
268,10.7200,409,180,1375.992,101.969,-1340.627
269,10.7600,409,179,1376.992,74.954,-1192.782
270,10.8000,409,180,1377.992,54.954,-990.582
271,10.8400,412,181,1381.154,55.765,-752.292
272,10.8800,416,184,1386.154,64.954,-524.398
273,10.9200,429,199,1406.004,150.059,240.447
274,10.9600,446,219,1432.252,276.303,1006.745
275,11.0000,461,255,1471.252,466.303,2056.745
276,11.0400,478,286,1506.608,627.268,2857.515
277,11.0800,484,308,1529.411,716.285,3256.660
