frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
239,7.9651,938,1007,6896.860,680.212,-2626.513
240,7.9984,915,993,6923.785,682.344,-2083.117
241,8.0317,889,971,6957.844,725.150,-1272.658
242,8.0650,855,968,6991.976,781.522,-348.712
243,8.0984,813,977,7034.930,930.608,1012.505
244,8.1317,779,992,7072.092,1051.603,2228.795
245,8.1650,740,1016,7117.885,1164.829,2895.496
246,8.1984,704,1038,7160.075,1213.627,2931.451
247,8.2317,670,1067,7204.762,1276.974,2973.308
248,8.2650,644,1092,7240.832,1235.661,1830.685
249,8.2983,622,1125,7280.493,1250.659,1194.577
250,8.3317,621,1162,7317.506,1197.972,198.895
251,8.3650,617,1193,7348.763,1132.360,-487.696
252,8.3983,627,1227,7384.203,1076.863,-1200.906
253,8.4316,630,1256,7413.358,1035.367,-1202.006
254,8.4650,645,1288,7448.699,1009.442,-1447.593
255,8.4983,656,1311,7474.195,940.318,-1546.234
256,8.5316,675,1336,7505.595,941.180,-1147.313
257,8.5649,691,1358,7532.798,891.747,-1110.918
258,8.5983,716,1382,7567.454,924.758,-663.787
259,8.6316,739,1398,7595.471,880.809,-771.955
260,8.6649,761,1407,7619.241,870.455,-419.264
261,8.6982,786,1412,7644.736,835.014,-637.122
262,8.7316,820,1408,7678.971,877.212,-87.228
263,8.7649,854,1393,7716.133,892.253,-195.067
264,8.7982,883,1377,7749.254,922.878,252.466
265,8.8316,901,1356,7776.912,946.216,454.662
266,8.8649,916,1328,7808.677,983.842,893.145
267,8.8982,927,1298,7840.630,970.151,557.745
268,8.9315,936,1274,7866.262,900.958,52.240
269,8.9649,951,1245,7898.912,898.130,-148.522
270,8.9982,947,1217,7927.196,901.884,-266.047
271,9.0315,946,1179,7965.209,939.382,-266.813
272,9.0648,942,1144,8000.437,959.034,-66.712
273,9.0982,945,1108,8036.562,1022.004,726.420
274,9.1315,946,1066,8078.574,1078.189,1080.571
275,9.1648,950,1032,8112.808,1113.897,1272.333
276,9.1981,957,980,8165.277,1200.650,1567.922
277,9.2315,954,941,8204.392,1223.979,1589.986
278,9.2648,964,906,8240.793,1225.634,1222.025
279,9.2981,965,873,8273.808,1171.642,560.835
280,9.3315,970,839,8308.174,1172.430,351.266
281,9.3648,975,812,8335.633,1022.340,-1070.076
282,9.3981,980,802,8346.813,854.697,-2216.139
283,9.4314,991,777,8374.126,800.160,-2553.354
284,9.4648,988,764,8387.468,682.096,-2937.871
285,9.4981,984,753,8399.172,546.102,-3758.719
286,9.5314,958,740,8428.241,555.763,-2800.021
287,9.5647,951,738,8435.521,532.357,-1934.425
288,9.5981,918,751,8470.990,581.299,-1313.433
289,9.6314,903,762,8489.591,612.862,-415.488
290,9.6647,886,778,8512.936,682.719,819.864
291,9.6980,883,797,8532.171,623.706,407.738
292,9.7314,870,815,8554.375,713.265,1085.665
293,9.7647,867,823,8562.919,551.687,-177.708
294,9.7980,862,827,8569.322,478.484,-806.426
295,9.8314,843,823,8588.739,454.907,-1367.146
296,9.8647,849,827,8595.950,382.747,-1446.046
